Folio,Topic Heading,Source (original),Text (original),Source (standardized),Text (standardized),Citation,STC number,Notes
9-6v,Wisdom Prudenc Pollicy,,"When the Strongest Giues ye Lawe 
the weakest must take the Least 
of Euils: if therfore thou fynd 
thy selfe ouer weake. its wisdom 
to make thy peace as thou Canst 
for any Conditions are Rather to 
be accepted then an Ineuitable 
ouerthrow Expected",,,Source currently unknown,,
9-6v,Wisdom Prudenc Pollicy,,"That which of Necessity wee must 
doe, it is better doe wth willingnes 
and purchas thanks: then by a 
dicontentednes to make the 
paine more and loose the Reward",,"But his promise had bound him prentice, and therefore it was now better with willingnes to purchase thankes, then with a discontented doing to haue the paine, and not the reward","Sidney, Philip, ""TO MY DEARE LADY AND SISTER, THE COVNTESSE OF PEMBROKE"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593), p.34",STC 22540,"Jumbled wording, missing Collet's first part"
9-7r,Wisdom prudenc pollicy,,"Loosers must not bee Chousers (Nor 
begers their owne Caruers) but Content 
to parte wth a parte that they may 
Saue the Rest",,"for losers must be no choosers; nor beggars their owne caruers; but contented to part with a part, that they may saue the rest.","Dallington, Robert, ""APHORISME XVII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p.177",STC 6197 ,
9-7r,Wisdom prudenc pollicy,,"Occasion past is Irecouerable, and 
the loss by Slacking is Ireparable 
fortune semes euer after to Crose 
all a mans Actions, and to bee a 
true handmade to noe Mistres 
but occasion",,"For occasion past is irrecouerable, and the losse by slacking it, irreparable. Fortune seemes after to crosse all a mans actions: and to be true hand-maide to no mistris, but occasion","Dallington, Robert. Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 43.",STC 6197 ,Omitted first two sentences of the aphorism
9-7r,Wisdom prudenc pollicy,,"In Conuersing wth Strangers bee 
ware thou tax noe man wth Crymes
Vpon Suspition: But be as wary 
of them and watchfull ouer thy 
Selfe as if thou knowest them to 
bee perfidious & ill affeted to thee", ,,Source currently unknown,,
9-7v,Wisdom prudenc pollicy,,"Take not where you may Deny 
Except vpon Conscience of Desert 
or hope of Requitall",,"Take not where you may deny, except vpon conscience of desert, or hope to requite","Hall, Joseph. ""To all READERS. EP. X. Containing Rules of good aduice for our Christian and ciuill cariage,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p. 402.",STC 12635b ,"Also in Epistles, the second volume: conteining two decads, 1608"
9-7v,Wisdom prudenc pollicy,,"Lawfull pollicies may haue from 
God both Liberty in the vse,
 And Blesing in the Suces",,"Religion doth not call vs to a weake simplici|tie, but allowes vs as much of the Serpent as of the Doue: lawfull policies haue from God both liberty in the vse, and blessing in the successe.","Hall, Joseph. ""Of the birth and breeding of MOSES"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p. 867.",STC 12635b ,
9-7v,Wisdom prudenc pollicy,,"In the Schole of pollicy Doubt is 
the Mother of Good Succes, for hee
that feares ye worst prevents in soonest",,"In the schoole of Policie, she is the mo|ther of good successe: for, he that feareth the worst, preuenteth it soonest","Dallington, Robert. ""Aphorisme XXIII""  Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 32.",STC 6197 ,
9-7v,Wisdom prudenc pollicy,,"Where the Charge Comes Imediatly 
from God any meanes are Effectuall 
but in thos proiects that wee make 
for our owne purpose wee must 
Choues thos helps that promis most 
efeucy",,"Where it comes immediately from the charge of God, any meanes are effectuall; One stick of wood shall fetch water out of the Rocke, another shall fetch bitternesse out of the water: But in those proiects, which we make for our owne purposes, we must choose those helpes, which promise most efficacie","Hall, Joseph. ""The Foyle of AMALEK: or the hand of MOSES lift vp,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p. 894",STC 12635b ,Missed some sentences
9-7v,Wisdom prudenc pollicy,,"Its a Saufe & wise Course to make 
much of thos in our peace. whom 
wee must make vse of in Extremity",,"It is a safe and wise course, to make much of those in our peace, whom we must make vse of in our extremity","Hall, Joseph, ""CONTEMPLATIONS. THE TENTH BOOKE. IEPTHA,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.922",STC 12635b ,
9-8r,Wisdom prudenc pollicy,,"A Good pollititian drawes one his 
Confederats to Actions Vnpleasing 
by Seasoning them wth the Swete 
Sauce of profit & Gayne",,"So the Politician draweth on his confederates to actions vnpleasing, by  seasoning them with the sweet sauce of profit, and gaine For States are without naturall affections, they contract not amitie as priuate men, by a sympathie of will, and a similitude of manners; it is particular aduantage, that knittes them to|gether","Dallington, Robert, Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 191",STC 6197 ,"Changed the meaning by attaching ""gayne"" to the clause before and omitting the last part of the quote"
9-8r,Wisdom prudenc pollicy,,"All wyse men to declyne the Enuy 
of their Vertues vse to ascribe them 
to prouidenc and fortune",,"All Wise Men, to decline the Enuy of their owne vertues, vse to ascribe them to Prouidence and Fortune","Bacon, Francis, ""Of Fortune"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 237",STC 1148,
9-8r,Wisdom prudenc pollicy,,"Its noted that they whoe ascribe to 
much to their owne wisdome 
End Vnfortunat",,"And it hath beene noted, that those, that ascribe open|ly too much to their owne Wisdome, and Policie, end Infortunate","Bacon, Francis, ""Of Fortune"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 237-8",STC 1148,
9-8r,Wisdom prudenc pollicy,,"Hee that would worke any Man 
must either know his Nature & 
fations and so Lead him: or his 
Ends and so win him: Or his 
weaknes and disadvantage and 
So Awe him: or thos that haue 
Intrest in him & so Gouernn him",,"If you would worke any man, you must either know his nature, and fashions and so leade him, or his ends, and so winne him, or his weake|nesses or disaduantages, and so awe him, or those that haue interest in him and so gouerne him","Bacon, Francis, ""Of Negociating"" Essayes Religious meditations. Places of perswasion and disswasion. Seene and allowed (London, 1597), p. 12-13.",STC  1137,
9-8v,Wisdom prudenc pollicy,,"King Lewes that is stiled Snt Leues 
Giues Counsell (as Bishop Salest saith) 
Neuer to Contradict any in what 
they Say if it bee neither Syn 
Nor bring Damage",,,Source currently unknown,,
9-8v,Wisdom prudenc pollicy,,Actions of hazard require deliberation,,Actions of hazard require deliberation,"Hall, Joseph, ""DAVID and GOLIAH,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.1081", STC 12635b ,
9-8v,Wisdom prudenc pollicy,,"Thos Actions that may be aproued 
to God are not allways Saufe 
with Men",,"Those actions which may be approued vnto God, are [H] not alwayes safe with men","Hall, Joseph, ""Of the birth and breeding of MOSES"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p. 867.", STC 12635b ,
9-9r,Wisdome in Speach & Si,,"Neuer heare that from thy selfe 
which thou wouldst be loath to 
hear from another",,,Source currently unknown,,
9-9r,Wisdome in Speach & Si,,"Truth may not be Crosed by denials 
or Equiuocations, it may be Con=
ceiled by a discret Sylenc",,"Truth may not bee crossed by denials, or equiuocations, it may bee concealed in a discreet silence","Hall, Joseph, ""The reiection of SAVL, and the choice of DAVID,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), pp. 1077-8", STC 12635b ,
9-9r,"Wisdome in Speach & Si
",,"Discretion of Speach is more then 
Eloquenc and to Speake agreeable to 
them with whom wee deale is more 
then to speake in good words or Good 
order
",,"Discretion of Speech, is more then Eloquence; And to speak agreeably to him, with whom we deale, is more then to speake in good Words, or in good Order.","Bacon, Francis, ""Of Discretion,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 197.",STC 1148,
9-9r,Wisdome in Speach & Si,,"A Good Orator placeth his Strongest 
Arguments in the Interanc of his 
plea to Confirme the Auditory",,"The Orator placeth his strongest arguments in the first entrance of his Plea, to perswade and confirme the auditorie","Dallington, Robert, ""APHORISME XLVIII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 63",STC 6197 ,
9-9r,Wisdome in Speach & Si,,"To vse many Curcumstances 
Ere one Come to the matter is 
wearisom, to vse none at all 
Is Blunt",,"To vse too many Circumstances, ere one come to the Matter, is Wearisome; To vse none at all, is Blunt.","Bacon, Francis, ""Of Discretion,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 197.",STC 1148,
9-10r,Justice,,"The same Corruption that is in a 
body without a Soule, is in A 
Com̄on wealth without Justice",,"for the same cor|ruption which is in a bodie without a soule, is in a Commonwealth without Iustice.","Le Sylvain, ""The Answere of the Attorney Generall"" The orator handling a hundred seuerall discourses, in forme of declamations: (London, 1596), p. 332",STC 4182,
9-10r,Justice,,"Justice admits none to Sit in her Seat 
but Such whose Eyes are Sealed from 
respecting persons, and hands Closed 
from Receiueing Rewards",,"swarue from the pre|script rule of Iustice and Equitie, which admits of none to sit in her Seate but such, whose eies are seeled from respecting persons, and hands closed from accepting rewards.","Dallington, Robert, ""APHORISME XLVII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p.218",STC 6197 ,
9-10r,Justice,,"A Good Judg will Conceiue quickly 
And Judg Slowly",,,Source currently unknown,,
9-10r,Justice,,"A Judg that giues Sentenc before 
both parties bee hard, may Judg 
the Right but not aright",,"That Iudge therefore, who giueth sentence before both Parties be heard, may iudge the right, but not aright.","Dallington, Robert, ""APHORISME IIII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 88",STC 6197,
9-10r,Justice,,"Patienc and Grauity of hearing. is 
an escensiall parte of Justice",,"Patience and Grauitie of Hearing, is an Essentiall Part of Iustice","Bacon, Francis, ""Of Iudicature,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 319",STC 1148,
9-10r,Justice,,"A Judg ought to bee more learned then 
witty, more Reuerend then plausible: 
more Adu[crossed-out]ed then Confident: aboue 
all things Integrety is theire 
portion and proper vertu",,"Iudges ought to be more Lear|ned, then Wittie; More Reuerend, then Plausible; And more Aduised, then Con|fident. Aboue all Things, Integritie is their Portion, and Proper Vertue Cursed (saith the Law)","Bacon, Francis, ""Of Iudicature. LVI,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 316.",STC 1148,"Omitted ""cursed"""
9-10v,Justice,,"The principall duty of a Judg is to 
Suppres force and fraud: wherof 
force is the more pernitious & open 
fraud the more Close and disguised",,"The Principall Dutie of a Iudge, is to suppresse Force and Fraud; whereof Force is the more Pernicious, when it is Open; And Fraud, when it is Close and Disguised","Bacon, Francis, ""Of Iudicature. LVI,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 317",STC 1148,
9-10v,Justice,,"A Judg must be ware of harde 
Constructions, and haue a Care that 
that which was ment for Terrour 
bee not turned Into Rigor 
In Iustice Remembring Mercy 
Casting a Seuere Ey vpon ye example 
but a mercifull vpon the person", ,"318 Iudges must beware of Hard Con|structions, and Strained Inferences; For there is no Worse Torture, then the Tor|ture of Lawes. Specially in case of Lawes Penall, they ought to haue Care, that that which was meant for Terrour, be not tur|ned into Rigour; 319 Iudges ought (as farre as the Law permitteth) in Iustice to remember Mercy; And to Cast a Seuere Eye vpon the Example, but a Mercifull Eye vpon the Person.","Bacon, Francis, ""Of Iudicature. LVI,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 318-9",STC 1148,"Omitted the information in between these quotes: ""And that they bring not vpon the People, that Shower, whereof the Scripture speaketh; Pluet super eos La|queos: For Penall Lawes Pressed, are a Shower of Snares vpon the People. There|fore, let Penall Lawes, if they haue beene Sleepers of long, or if they be growne vnfit for the present Time, be by Wise Iudges confined in the Execution; Iudicis Officium est, vt Res, ita Tempora Rerum, &c. In Causes of Life and Death;"""
9-10v,Justice,,"A Iust punishment may by the 
Maner be vniustly Done", ,"For Philanax who hated his euill, but not his per|son, and knewe that a iust punishment might by the maner be vniustly done","Sidney, Philip, ""THE FIFTH BOOKE,"" The Countesse of Pembrokes Arcadia. Written by Sir Philip Sidney Knight. Now since the first edition augmented and ended (London, 1593) p. 224.",STC  22540,
9-10v,Justice,,"In matters of Judgment to be Gui=
ded only by the Event. is the 
way to Error",,"In matters of judgement to be gui|ded onely by the Event, is the way to Error","Hall, Joseph, “Micah’s Idolatry,” ca. 1625",," Also in John Ufflet, Wits Fancies, 1659: In matters of judgement to be gui∣ded onely by the Event, is the way to Error; so Falshood may be Truth"
10-1r,Justice,,"To make a Compleat Judg, he must 
haue these properties, First 
freedom: that hee be not by Controle 
of others Authority either ouer Awed 
or misguided. So as he dayre not 
freely follow his owne Judgment
 or declare it: 
Secondly Integrety. that hee be not 
Corrupted by partiallity of friends: 
Affections: loue: Hate: Hope: 
feare: Thirdly, a Deepnes of
 apprehension Joynd with a full
Experienc of ye particular in question",,,Source currently unknown,,"John Yates, Gods arraignement of hypocrites with an inlargement concerning Gods decree in ordering sinne. As likewise a defence of Mr. Calvine against Bellarmine; and of Mr. Perkins against Arminius. ""first know∣ledge without all errour: 2. integritie without all partialitie: 3. equitie without all contradiction. The first is cleare, in that the Lord enters vpon the very particular sinnes of an hypo∣crite, (these things) and therefore can no way be deceiued; for hee that sees things in generall, and these things in speci∣all, leaues nothing vntouched"
10-1r,Justice,,"Judgment wthout Experienc is Like a 
quick Ey in an vncertaine Light 
Experienc wthout Judgment is Like a 
Strong Arme in Showting wthout 
a Good Ayme in it: Commonly 
mising ye marke it Selfe by to Steady 
Intending what is Next it ",,,Source currently unknown,,
10-1v,Justice,,"If Affection Lead a man to fauour 
the less worthy in Desert, Let him 
doe it without depraueing or 
Disabling the Better Deseruer",,"If Affection lead a Man, to fa|uour the lesse Worthy in Desert, let him doe it without Deprauing or Disabling the Better Deseruer","Bacon, Francis, ""Of Sutours. XLIX,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 289.",STC 1148,
10-2v,Temperanc,,"Snt Basal If thou Get the Mastery of thy Belly 
thou maist Dwell in Parradize: 
but if thy belly get the Mastery of thee 
thou art giuen ouer as a prey vnto 
Death",,,Source currently unknown,,
10-2v,Temperanc,,"Hee that takes his full liberty in 
what hee may shall Repent him: 
how much more if hee take it in 
what hee should Not",,"He that takes his full libertie in what he may, shall repent him: how much more in what he should not?","Hall, Joseph, ""24,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), pp. 139",STC 12635b," Holy obseruations. Lib. 1. Also some fewe of Dauids Psalmes metaphrased, for a taste of the rest, (London, 1607), p. 38)"
10-2v,Temperanc,,"He that makes himselfe a Seruant 
to his tooth, shall Eaisily becom a 
Slaue to all Inordinat Affections",,"He that makes himselfe a seruant to his tooth, shall easily become a slaue to all inordinate affections","Hall, Joseph, ""ELY and his Sonnes,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), pp. 963",STC 12635b,"Also in Contemplations vpon the principal passages of the holie historie. The third volume: in three bookes. By I. Hall, Doctor of Diuinitie (London, 1615), p. 433.)"
10-2v,Temperanc,,"Volluptiousnes hinders Counsell 
Is an Enimy to Reason, Dasels 
the Eyes of the Mynd and 
maintaynes no Commerce with 
Vertue",,"For pleasure flaieth counsel, is an enimie to reason, dazeleth the sight of the minde;  and hath no dealing at al with virtue","Hemingsen, Neils, ""Of true happinesse,"" The faith of the church militant moste effectualie described in this exposition of the 84. Psalme, (London, 1581) pp.381-2",STC 13059,Slightly different wording
10-3r,Temperanc,,"The famous Alfonsus vsed to Say
Drinking much wyne darkens 
Wisdom",,,Source currently unknown,,
10-3r,Temperanc,,"Obliuion allwayes Comes along with 
Saciety. thrusting the Abillites of 
Apprehension out of the Mynd 
till Hunger haueing Recalled 
Memory, bring it back Againe",,,Source currently unknown,,
10-3r,Temperanc,,"The Carthagenians by their Lawes 
Absolutly forbad the vse of wyne 
to all Sortes of Magestrates, during 
the tyme of their Gouerment 
And Banished it their Campes 
whilst the wares Lasted",,,Source currently unknown,,
10-4r,foritude,,"fortitud is Lodged betwen feare 
And Boldnes
",,,Source currently unknown,,
10-4r,fortitude,,"Mildnes and fortitud may well 
Stand together In one brest, 
and it is a misconceit to thinke 
None Valient but thos that are 
firce or Cruell",,"Mildnesse and Fortitude may well lodge together in one brest; to correct the misconceits of those men, that thinke none valiant, but those that are fierce, and cruell.","Hall, Joseph, ""Of AARON and MIRIAM,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.915",STC 12635b,"Contemplations vpon the principal passages of the holy story. The second volume; in foure books. By I. Hall, Dr. of Diuinity (London, 1614), p. 203. )"
10-4r,fortitude,,"That man that Vnderstands him 
selfe aright will Submit his 
Mynd to God: all other things 
to his Mynd",,"But were hee conuersant in our Schooles, hee should there learne that a man,  Note in marg:  A wise ma~ submits his minde to God, al other o|ther things to his minde. who vn|derstands himselfe aright, will subiect his mind to God, all other things to his mind, and not lose his vnderstan|ding for the losse of a wo|man","Stafford, Anthony, Staffords heauenly dogge: or The life, and death of that great cynicke Diogenes, whom Lertius stiles Canem Coelestem, the heauenly dogge, by reason of the heauenly precepts he gaue Taken out of the best authors, and written to delight great hearts, and to raise as high as heauen the minds that now grouell on the earth, by teaching them how to ouercome all affections, and afflictions (London, 1615), p. 81.",STC 1293:04,"Omitted the part about a woman, which could be significant"
10-4r,fortitude,,"Aduersity bendeth but never breaks 
a Noble Courage, hee abandoneth 
not himselfe though all the world
forsake him",,Aduersity bendeth but neuer breaketh a noble and vndaunted courage: he abandons not himselfe though all the world forsake him,"Dallington, Robert, ""APHORISME XVII,"" Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p.312.",STC 6197 ,
10-4r,fortitude,,"feble mynds when they meet with 
Croses they looked not for, Repent of 
their Good beginings, and wish any 
difficulty rather then that they finde",,"Feeble minds, when they meet with crosses they lookt not for, repent of their good beginnings, and wish any difficulty rather, then that they finde","Hall, Joseph, ""Of the Searchers of Canaan,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.918",STC 12635b,
10-4v,fortitud ,,"Difficulties doe Rather kindle then 
Daunt the Generous Spirits: And 
add that to their dilligenc wch was 
wanting in their Timlynes:",,"difficulties doe rather kindle than daunt the gene|rous spirits, and adde that to theyr diligence which was wanting in their timelinesse","Sandys, Erwin, Europae speculum. Or, A vievv or survey of the state of religion in the vvesterne parts of the world VVherein the Romane religion, and the pregnant policies of the Church of Rome to support the same, are notably displayed: with some other memorable discoueries and memorations, never before till now published according to the authours originall copie (1629), p. 81",STC 21718 ,
10-4v,fortitud,,"of all the Actions of men those of 
Couradge and braue Resolution are 
the Noblist: Because they preuaill 
even where wisdom: Counsell: force 
and all other meanes faile",,"So of the actions of men, those of Courage and braue Resolution are the noblest; because they often preuaile, euen where counsell, wisedome, force, and all other meanes do faile.","Dallington, Robert, Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 73-4.",STC 6197 ,
10-4v,fortitud,,"A Good Conscienc will make a man 
Vndauntedly Confident: and Dare 
put him vpon any tryall",,"A good conscience will make a man vndauntedly confident, and dare put him vpon any tryall","Hall, Joseph, ""SAMVELS contestation,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.1060",STC 12635b,
10-4v,fortitud,,"Neither feare nor fauour Can Tempt 
the holily Resolute",,"Neither feares, nor fauours can tempt the holily resolute","Hall, Joseph, ""SAMVELS contestation,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.1060",STC 12635b,
10-4v,fortitud,,"Sufferings are greater tryals of Couradge 
then Actions: for many that will Jeopard 
their liues wth Cheerfull Resolution, Cannot 
Endure in Cold Blood to loose a 
Limbe with patienc",,"Sufferings are greater tryals, then actions: How many haue we seene ieopard their liues, with cheerfull resolution, which cannot endure in cold blood to lose a limbe with patience","Hall, Joseph, ""Of the Rocke of Rephidim,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.890",STC 12635b,
10-5r,fortitude,,"Hee that Can Contemn Iniuries
Shewes himselfe Superior to all 
that fortune or Nature Can afforde",,"he then that can tollerate such harmes, sheweth himselfe superior to all that fortune or nature can affoord","Wright, Thomas, ""The 13. Motive to Love, which is the pardoning of Iniuries,"" The passions of the minde in generall, (London 1604), pp.225-6",STC 26040,Jumbled wording
10-5r,fortitude,,"Wee must not thinke the Vallient 
Man should be willing to Suffer 
any thing, for the very Suffering of 
Som things is a Certaine proofe of 
wante of Couradge",,"we must not runne so infinitely, as to thinke the valiant man is willinglie to suffer any thing, since the very suffering of some things is a certaine proofe of want of courage","Sidney, Philip, ""THE FOVRTH BOOKE,"" The Countesse of Pembrokes Arcadia (London, 1593) p. 210.",STC 22540,
10-5r,fortitude,,"Its Madnes not Couradg to Run into 
thos Coursees in wch wee see others 
Miscarry",,,Source currently unknown,,
10-5r,fortitude,,"Wee may Saufly flie from that danger 
wch wee Cannot other wayes avoid
 its a thankles fortitud to offer our 
throats to the knife",,"how lawfully wee may flee from those dangers, wee cannot auoid otherwise: It is a thanklesse forti|tude, to offer our throat vnto the knife","Hall, Joseph, ""HEROD and the Jnfants,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.1177",STC 12635b,
10-5r,fortitude,,"Theres no warran to run an Extream 
hazard, Saue only an Extreame 
Necessity",,"There is no warrant to runne an extreme hazard, saue onely extreme necessitie","Dallington, Robert, Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 59",STC 6197,
10-6r,obedienc to Parents [flourish] S,,"Reuerenc & loueing Respects to 
to Parents Neuer yet went away 
Vnrecompenced from God",," Reuerence and louing respects to parents, neuer yet went away vnrecompenced","Hall, Joseph, ""BOAZ and RVTH,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.955",STC 12635b,
10-6r,obedienc to Parents [flourish] S,,"The only way to medigat necessary 
Seruitud, is to obey willingly
",,the onely way to mitigate necessary seruitude were to obey voluntary,"Du Vair, Guillaume, ""MVSAEVS, OR THE FIRST BOOKE OF CONSTANCY,"" A buckler against adversitie, or, A treatise of constancie written in French by the Right Honourable the Lord Du Vair ... ; and now done into English by Andreuu Court (London, 1622), p.43.",STC 7373,
10-6r,obedienc to Parents [flourish] S,,"Loue procures truer Servitud 
then Necessity",,Loue procures truer seruitude then necessity,"Hall, Joseph, ""CONTEMPLATIONS. THE ELEVENTH BOOKE. The Leuites Concubine,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.946",STC 12635b,
10-6r,obedienc to Parents [flourish] S,,"The disobedient and Scornfull 
are good for nothing. they are 
neither fit to bee Gouernors nor 
Subiect vnto",,"The disobedient and scornfull are good for nothing, they are neither fit to be subiects nor gouernours","Hall, Joseph, ""The meeting of SAVL and SAMVEL,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.1053",STC 12635b,
10-7r,Counsell,,"In all Serious matters take Counsell 
of Dayes. Nights and of friends",,"In all serious mat|ters, take counsell of dayes, and nights, and friends","Hall, Joseph, ""To all READERS. EP. X. Containing Rules of good aduice for our Christian and ciuill cariage,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.402",STC 12635b,
10-7r,Counsell,,"Hee that refuseth all Counsell is worse 
then a Beast: hee that needs none 
is more then a Man",,"For, he that refuseth all counsaile is worse then a beast: he that needeth none, is more then a man","Dallington, Robert, Aphorismes ciuill and militarie amplified with authorities, and exemplified with historie, out of the first quarterne of Fr. Guicciardine (London, 1613), p. 256",STC 6197 ,
10-7r,Counsell,,"It is but folly to aske Counselll of 
any that wee are not perswaded 
haue more vnderstanding and 
experienc in the thing we Inquire 
of then our selues",,,Source currently unknown,,
10-7r,Counsell,,"The best discouery of mens mynds 
is their Actions. the best director 
of Action is Counsell, the best tryall 
of Counsell is Experienc",,"The best discouerer of mens minds are their actions, the best directer of action is counsell, and the [H] best tryall of counsell is experience.","Sutton, Edward, Anthropophagus: or, a caution for the credulous. A morall discourse vpon the 25. verse of the 26. chapter of the Prouerbs of Solomon. Written by E.S.B. of D. and sometimes fellow of S.l.C. in C. (1623), p. 36",STC 23495.5,
10-7r,Counsell,,"The Cheeife prayes is to bee able to 
Giue Good Counsell: the Next is to 
bee willing to take it",,The chiefe praise is to be able to giue good aduice; the next is to take it,"Hall, Joseph, ""To all READERS. EP. X. Containing Rules of good aduice for our Christian and ciuill cariage,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.402",STC 12635b,
10-7v,Counsell,,"By these tow markes the Counsell
may bee discerned to bee Evill 
if it bee young for the person 
and Violent for the Matter",,"the two Markes, whereby Bad Counsell is, for euer, best discerned: That it was young Counsell, for the Persons; And Violent Coun|sell, for the Matter.","Bacon, Francis, ""Of Counsell,"" The essayes or counsels, ciuill and morall, of Francis Lo. Verulam, Viscount St. Alban (London, 1625), p. 116.",STC 1148,Jumbled order/word choice
10-7v,Counsell,,"Noe wyse man will hold Good 
Counsell disparaged by the 
meannes of the Author",,"No wise man can hold good coun|sell disparaged, by the meannesse of the Author","Hall, Joseph, ""CONTEMPLATIONS. THE ELEVENTH BOOKE. The Leuites Concubine,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p.947",STC 12635b,
10-7v,Counsell,,"It is as hard to Chouse the Season 
for Counsell as to Giue it",,"It is as hard to choose the season for counsell, as to giue it","Hall, Joseph, ""ToM. W.R. Dedic. to M. Thomas Burlz. EP. IX. Consolations of immoderate griefe for the death of friends,"" The vvorks of Ioseph Hall Doctor in Diuinitie, and Deane of Worcester With a table newly added to the whole worke (London, 1625), p. 317",STC 12635b,
10-7v,Counsell,,"That Counsell that Sootheth ye humour 
of the Counselled however Vnpro=
fitable is Commonly accountted 
plausible",,"for Counsell soothing the humor of the counselled, howsoeuer vnprofitable, is accounted plausible","Warner, William, Albions England a continued historie of the same kingdome, from the originals of the first inhabitants thereof: and most the chiefe alterations and accidents there hapning: vnto, and in, the happie raigne of our now most gracious soueraigne Queene Elizabeth. VVith varietie of inuentiue and historicall intermixtures. First penned and published by VVilliam VVarner: and now reuised, and newly inlarged by the same author (London, 1597), p. 321",STC 25082a,
